episode,reward,moving_avg,epsilon,steps
1158,-0.2700,2.1408,0.0500,233
1159,-2.6500,1.9764,0.0500,235
1160,-2.9700,1.8356,0.0500,203
1161,-3.1600,1.6872,0.0500,184
1162,0.0100,1.6580,0.0500,261
1163,-1.2100,1.6200,0.0500,259
1164,-2.5600,1.5372,0.0500,244
1165,7.4400,1.5428,0.0500,184
1166,6.7000,1.5620,0.0500,210
1167,6.3100,1.8724,0.0500,171
1168,6.4900,1.8492,0.0500,189
1169,0.3700,1.9172,0.0500,297
1170,6.4400,2.1752,0.0500,184
1171,0.2000,1.9416,0.0500,280
1172,-1.0400,1.6580,0.0500,276
1173,5.8900,1.9968,0.0500,229
1174,5.4100,2.2260,0.0500,181
1175,-0.1500,1.9200,0.0500,245
1176,-2.7200,1.5184,0.0500,228
1177,-1.3900,1.2100,0.0500,241
1178,-0.3500,0.9480,0.0500,225
1179,-1.4600,0.9288,0.0500,234
1180,7.2000,1.2272,0.0500,160
1181,5.5400,1.4840,0.0500,194
1182,-1.8000,1.4508,0.0500,200
1183,6.0000,1.7016,0.0500,240
1184,-0.5200,1.7868,0.0500,208
1185,-0.9700,1.8668,0.0500,283
1186,-0.3500,1.9792,0.0500,225
1187,6.7600,2.2492,0.0500,316
1188,7.0700,2.5804,0.0500,247
1189,-1.0000,2.6428,0.0500,280
1190,7.6100,2.6496,0.0500,201
1191,7.3000,2.6736,0.0500,225
1192,-1.9700,2.3424,0.0500,363
1193,-2.6000,1.9788,0.0500,240
1194,-0.6900,1.9364,0.0500,311
1195,-0.2100,1.6704,0.0500,359
1196,-0.9600,1.6240,0.0500,284
1197,-0.1400,1.6600,0.0500,416
1198,0.6800,1.4516,0.0500,328
1199,-1.9400,1.1576,0.0500,306
1200,7.3300,1.4568,0.0500,173
1201,-1.0600,1.5232,0.0500,274
1202,7.3500,1.8728,0.0500,175
1203,-2.6900,1.7792,0.0500,231
1204,0.6100,1.8620,0.0500,321
1205,-1.4900,1.5144,0.0500,356
1206,-0.6500,1.2668,0.0500,195
1207,-1.7300,1.2696,0.0500,207
1208,-0.0400,1.0280,0.0500,256
1209,6.1400,1.2944,0.0500,254
1210,9.0200,1.6940,0.0500,342
1211,-3.1100,1.5836,0.0500,524
1212,7.1700,1.6000,0.0500,157
1213,0.2600,1.3276,0.0500,371
1214,-0.6600,1.3412,0.0500,314
1215,7.6300,1.3420,0.0500,303
1216,7.1900,1.3376,0.0500,159
1217,-2.2000,1.3284,0.0500,280
1218,7.5300,1.7336,0.0500,193
1219,1.0900,1.8048,0.0500,369
1220,0.5500,1.8352,0.0500,315
1221,7.4800,2.1728,0.0500,188
1222,7.1600,2.4648,0.0500,156
1223,1.1000,2.4816,0.0500,370
1224,-0.1600,2.5528,0.0500,549
1225,-1.6600,2.1932,0.0500,334
1226,-2.4600,2.1372,0.0500,389
1227,-2.6000,1.7392,0.0500,515
1228,7.5100,2.1472,0.0500,191
1229,7.5900,2.4264,0.0500,354
1230,7.6400,2.7916,0.0500,204
1231,7.4500,3.1156,0.0500,185
1232,10.0800,3.5880,0.0500,448
1233,-0.9000,3.5536,0.0500,350
1234,2.8500,3.4220,0.0500,600
1235,7.1600,3.3476,0.0500,156
1236,5.8000,3.7040,0.0500,600
1237,7.4500,3.7152,0.0500,185
1238,2.7000,3.8128,0.0500,600
1239,10.1300,4.2444,0.0500,453
1240,5.2000,4.1472,0.0500,600
1241,7.4300,4.1568,0.0500,183
1242,7.1500,4.5308,0.0500,155
1243,7.5300,4.5308,0.0500,193
1244,7.5200,4.7880,0.0500,192
1245,7.1400,5.0516,0.0500,154
1246,9.8000,5.1444,0.0500,425
1247,7.6600,5.1644,0.0500,206
1248,2.8000,5.2324,0.0500,600
1249,6.2500,5.4888,0.0500,600
1250,-0.3700,5.5404,0.0500,343
1251,-0.9600,5.6004,0.0500,574
1252,8.9100,6.0608,0.0500,431
1253,-0.4100,5.7440,0.0500,454
1254,3.7000,5.5884,0.0500,600
1255,2.2600,5.3732,0.0500,486
1256,7.7700,5.3860,0.0500,222
1257,5.2500,5.1928,0.0500,600
1258,7.7100,5.5372,0.0500,211
1259,10.3500,5.8372,0.0500,475
1260,7.2600,5.8412,0.0500,166
1261,6.8500,5.8832,0.0500,600
1262,7.7600,5.8956,0.0500,216
1263,1.3000,5.8396,0.0500,520
1264,7.5700,5.7372,0.0500,197
1265,8.1100,5.8536,0.0500,251
1266,8.4700,5.8952,0.0500,372
1267,7.4300,5.9064,0.0500,183
1268,8.3400,5.9388,0.0500,504
1269,0.3500,5.6520,0.0500,415
1270,-0.0900,5.3628,0.0500,251
1271,1.5800,5.0340,0.0500,593
1272,9.2400,5.0972,0.0500,464
1273,7.2900,5.2768,0.0500,169
1274,9.0000,5.3868,0.0500,370
1275,-0.0600,5.3992,0.0500,464
1276,4.8500,5.6316,0.0500,600
1277,-0.1900,5.2676,0.0500,451
1278,7.8000,5.5960,0.0500,600
1279,2.9000,5.5640,0.0500,600
1280,7.4100,5.7700,0.0500,326
1281,7.2000,5.7472,0.0500,360
1282,1.2500,5.5872,0.0500,600
1283,7.6600,5.5852,0.0500,206
1284,7.7800,5.4824,0.0500,218
1285,7.4700,5.4908,0.0500,387
1286,6.2000,5.4648,0.0500,600
1287,8.3300,5.4876,0.0500,273
1288,-1.3400,5.3820,0.0500,246
1289,5.8400,5.3128,0.0500,224
1290,-3.2800,4.8572,0.0500,172
1291,-2.5500,4.4164,0.0500,245
1292,5.0500,4.3212,0.0500,600
1293,1.3900,4.0432,0.0500,519
1294,5.9400,4.2668,0.0500,234
1295,7.4900,4.5700,0.0500,189
1296,-2.4700,4.4080,0.0500,253
1297,1.2100,4.0868,0.0500,381
1298,0.2600,3.8056,0.0500,286
1299,-3.2000,3.3176,0.0500,180
1300,-1.2700,3.2692,0.0500,398
1301,-2.7400,2.9656,0.0500,226
1302,7.6700,3.2800,0.0500,207
1303,0.0600,2.9704,0.0500,266
1304,7.2500,3.1444,0.0500,265
1305,0.3000,2.8600,0.0500,290
1306,7.5900,2.8756,0.0500,199
1307,-0.5800,2.8024,0.0500,427
1308,7.0800,2.7792,0.0500,348
1309,5.9000,2.7040,0.0500,230
1310,1.5100,2.4656,0.0500,411
1311,0.4400,2.2352,0.0500,304
1312,0.5500,1.9240,0.0500,315
1313,0.1000,1.9816,0.0500,270
1314,7.5800,2.0512,0.0500,198
1315,-0.4500,2.1644,0.0500,335
1316,-1.0500,2.2244,0.0500,395
1317,-0.3200,2.0096,0.0500,228
1318,0.6000,1.9780,0.0500,320
1319,0.3800,1.7556,0.0500,298
1320,6.5300,1.7172,0.0500,293
1321,-2.0300,1.7348,0.0500,322
1322,-2.5700,1.5836,0.0500,243
1323,8.3300,1.9064,0.0500,273
1324,-1.6400,1.9688,0.0500,351
1325,0.1200,2.0244,0.0500,272
1326,7.3400,2.4276,0.0500,174
1327,-0.6700,2.0940,0.0500,313
1328,-0.2700,2.0808,0.0500,368
1329,7.7600,2.1012,0.0500,216
1330,-0.7700,2.0584,0.0500,363
1331,0.4400,1.7724,0.0500,304
1332,-0.5800,1.7724,0.0500,332
1333,1.2500,1.5392,0.0500,385
1334,1.0700,1.3460,0.0500,397
1335,-0.0300,1.2844,0.0500,377
1336,7.7100,1.5752,0.0500,211
1337,7.6100,1.8576,0.0500,201
1338,1.0400,1.8952,0.0500,364
1339,-1.0700,1.5492,0.0500,393
1340,7.0000,1.8472,0.0500,340
1341,7.8600,2.2036,0.0500,226
1342,-1.4100,2.1600,0.0500,359
1343,6.4700,2.3948,0.0500,187
1344,-0.1800,2.3724,0.0500,242
1345,-0.2300,2.1020,0.0500,357
1346,0.9100,2.2196,0.0500,351
1347,6.2800,2.5736,0.0500,168
1348,-1.6000,2.1764,0.0500,340
1349,6.2500,2.4920,0.0500,270
1350,8.2800,2.8184,0.0500,383
1351,8.4000,2.8608,0.0500,600
1352,3.9000,3.0436,0.0500,600
1353,5.1500,3.2604,0.0500,600
1354,4.5500,3.1320,0.0500,600
1355,3.2500,3.2928,0.0500,600
1356,3.5500,3.4172,0.0500,600
1357,10.2500,3.8504,0.0500,465
1358,7.6600,4.1068,0.0500,306
1359,1.4500,4.1220,0.0500,600
1360,0.6800,4.1504,0.0500,368
1361,0.1200,3.8468,0.0500,422
1362,7.6000,3.8464,0.0500,200
1363,0.4500,3.8228,0.0500,310
1364,-2.3900,3.7700,0.0500,261
1365,0.8400,3.5236,0.0500,479
1366,6.7200,3.4780,0.0500,312
1367,-1.2700,3.4836,0.0500,328
1368,-1.4800,3.1656,0.0500,352
1369,8.2000,3.5008,0.0500,265
1370,7.3600,3.8044,0.0500,276
1371,0.5800,3.7912,0.0500,318
1372,6.7200,3.8088,0.0500,312
1373,-0.5700,3.8500,0.0500,373
1374,1.5200,3.6608,0.0500,412
1375,-1.7800,3.2584,0.0500,492
1376,7.5200,3.2232,0.0500,292
1377,0.1900,3.0748,0.0500,279
1378,7.6800,3.1760,0.0500,208
1379,0.6000,3.0180,0.0500,320
1380,5.6700,3.1148,0.0500,422
1381,-0.5600,2.9504,0.0500,324
1382,-0.9000,2.5044,0.0500,290
1383,-1.3000,2.1460,0.0500,250
1384,-0.2600,2.0776,0.0500,234
1385,-1.1200,2.0056,0.0500,268
1386,-0.8800,1.9656,0.0500,327
1387,-0.4300,1.6444,0.0500,362
1388,-4.0500,1.4644,0.0500,365
1389,0.9100,1.5964,0.0500,351
1390,7.5400,1.8644,0.0500,194
1391,7.7000,1.9036,0.0500,210
1392,7.5300,2.2556,0.0500,193
1393,-0.8000,2.2828,0.0500,300
1394,-1.9000,1.8788,0.0500,425
1395,5.9000,1.8204,0.0500,330
1396,7.8500,2.1112,0.0500,225
1397,-2.0900,1.7588,0.0500,291
1398,7.8900,2.0972,0.0500,229
1399,7.8600,2.3508,0.0500,226
1400,7.6800,2.7292,0.0500,208
1401,7.5300,2.7296,0.0500,193
1402,-0.6500,2.6960,0.0500,315
1403,-1.6400,2.3232,0.0500,371
1404,7.7200,2.6080,0.0500,212
1405,7.6800,2.6884,0.0500,208
1406,3.9300,2.8680,0.0500,333
1407,7.7500,3.2140,0.0500,215
1408,0.6800,3.2932,0.0500,328
1409,8.2800,3.6348,0.0500,268
1410,2.4500,3.7776,0.0500,600
1411,6.6000,4.0768,0.0500,600
1412,8.3400,4.4276,0.0500,274
1413,6.7900,4.8612,0.0500,219
1414,2.0700,4.9076,0.0500,557
1415,3.4000,4.7420,0.0500,600
1416,-0.5300,4.4128,0.0500,357
1417,-1.3400,4.0580,0.0500,591
1418,7.2600,4.3804,0.0500,166
1419,0.0600,4.4588,0.0500,481
1420,0.9900,4.2624,0.0500,374
1421,7.5700,4.2512,0.0500,197
1422,-0.2000,4.3268,0.0500,475
1423,7.1200,4.2960,0.0500,152
1424,7.0000,4.2616,0.0500,140
1425,6.9800,4.2336,0.0500,138
1426,4.9100,4.1288,0.0500,431
1427,7.2000,4.4428,0.0500,160
1428,6.4000,4.7644,0.0500,600
1429,7.3400,4.7492,0.0500,174
1430,7.4000,4.7380,0.0500,180
1431,7.6100,4.8852,0.0500,301
1432,7.1800,4.8624,0.0500,158
1433,9.2900,5.2068,0.0500,369
1434,7.7100,5.1840,0.0500,211
1435,-0.2600,5.0756,0.0500,434
1436,-1.3500,4.7576,0.0500,410
1437,-0.5400,4.4024,0.0500,326
1438,-1.5900,4.0672,0.0500,221
1439,-1.2900,3.9328,0.0500,251
1440,-1.4900,3.7372,0.0500,231
1441,-0.2800,3.7472,0.0500,232
1442,-0.4500,3.7828,0.0500,215
1443,8.2400,3.8220,0.0500,364
1444,-2.2400,3.7300,0.0500,276
1445,-0.8800,3.6552,0.0500,297
1446,0.6500,3.3784,0.0500,330
1447,-1.2900,3.3348,0.0500,251
1448,-2.5400,2.9484,0.0500,251
1449,6.0600,2.9108,0.0500,246
1450,6.1800,2.8788,0.0500,263
1451,-0.1500,2.6764,0.0500,245
1452,7.1800,2.6756,0.0500,258
1453,0.1800,2.4268,0.0500,278
1454,-2.7500,2.0232,0.0500,225
1455,0.0100,1.7276,0.0500,261
1456,0.1800,1.4304,0.0500,278
1457,-0.0000,1.1432,0.0500,260
1458,-1.9000,0.6956,0.0500,190
1459,7.8400,0.7008,0.0500,224
1460,-0.9800,0.6720,0.0500,282
1461,-1.2000,0.6780,0.0500,260
1462,-0.1600,0.6932,0.0500,244
1463,0.0100,0.7572,0.0500,261
1464,-0.6500,0.7828,0.0500,195
1465,-1.5200,0.7816,0.0500,228
1466,-2.5900,0.6892,0.0500,241
1467,-2.4300,0.6100,0.0500,322
1468,0.6200,0.3052,0.0500,322
1469,0.0100,0.3952,0.0500,261
1470,0.0200,0.4312,0.0500,262
1471,-0.6000,0.3812,0.0500,200
1472,-1.5600,0.3704,0.0500,224
1473,-0.3600,0.4576,0.0500,224
1474,-1.5200,0.1544,0.0500,228
1475,-1.3600,-0.1472,0.0500,244
1476,-0.9900,-0.1808,0.0500,161
1477,-2.0500,-0.5500,0.0500,175
1478,7.3800,-0.2620,0.0500,298
1479,-0.4700,-0.1708,0.0500,213
1480,-2.0900,-0.2548,0.0500,171
1481,-0.7000,-0.2900,0.0500,190
1482,-0.5300,-0.3112,0.0500,207
1483,7.0900,0.0484,0.0500,149
1484,-2.0100,-0.3456,0.0500,179
1485,0.0300,-0.3052,0.0500,263
1486,5.1700,-0.0504,0.0500,157
1487,-0.0000,-0.0440,0.0500,260
1488,-2.2100,-0.1328,0.0500,279
1489,7.6800,0.2004,0.0500,208
1490,7.6400,0.5668,0.0500,209
1491,7.3800,0.9656,0.0500,178
1492,7.0300,1.3440,0.0500,143
1493,7.0700,1.6020,0.0500,147
1494,0.0200,1.6024,0.0500,262
1495,7.0200,1.8824,0.0500,142
1496,0.3800,1.9216,0.0500,298
1497,7.3100,2.2764,0.0500,171
1498,7.0200,2.5716,0.0500,142
1499,7.0400,2.9140,0.0500,144
1500,7.1400,3.2540,0.0500,154
1501,7.0200,3.5744,0.0500,142
1502,7.2100,3.9448,0.0500,161
1503,7.0200,3.9304,0.0500,142
1504,7.1700,4.2360,0.0500,157
1505,7.0200,4.6004,0.0500,142
1506,7.1600,4.9148,0.0500,156
1507,7.2600,5.2264,0.0500,166
1508,4.6500,5.1288,0.0500,600
1509,1.0600,5.2516,0.0500,366
1510,-1.0000,5.2104,0.0500,280
1511,0.1500,5.0096,0.0500,395
1512,0.3100,5.0220,0.0500,291
1513,4.1500,5.2764,0.0500,600
1514,7.1600,5.2556,0.0500,156
1515,7.0200,5.2308,0.0500,142
1516,7.1600,5.2220,0.0500,156
1517,7.0300,5.2220,0.0500,143
1518,7.0700,5.2220,0.0500,147
1519,7.4000,5.5172,0.0500,185
1520,6.4000,5.4924,0.0500,600
1521,7.2500,5.7672,0.0500,165
1522,7.0200,5.7556,0.0500,142
1523,7.1600,5.7612,0.0500,156
1524,7.0200,5.7604,0.0500,142
1525,6.4000,5.7308,0.0500,600
1526,7.1600,5.7364,0.0500,156
1527,7.0100,5.7284,0.0500,141
1528,1.1100,5.4920,0.0500,461
1529,7.0200,5.4860,0.0500,142
1530,0.9200,5.2420,0.0500,352
1531,7.0200,5.2364,0.0500,142
1532,-0.0000,4.9460,0.0500,260
1533,7.0400,5.0416,0.0500,144
1534,7.0600,5.2816,0.0500,146
1535,7.3700,5.6164,0.0500,177
1536,7.3900,5.9060,0.0500,184
1537,9.3700,6.2684,0.0500,377
1538,6.2000,6.3504,0.0500,600
1539,7.3800,6.3592,0.0500,178
1540,5.7400,6.3080,0.0500,514
1541,7.0400,6.3032,0.0500,144
1542,7.0300,6.3032,0.0500,143
1543,7.0300,6.3016,0.0500,143
1544,7.0200,6.2864,0.0500,142
1545,7.0200,6.3112,0.0500,142
1546,7.0300,6.3024,0.0500,143
1547,7.3300,6.3148,0.0500,173
1548,7.6000,6.3324,0.0500,210
1549,5.2000,6.2596,0.0500,600
1550,8.4000,6.3396,0.0500,600
1551,7.0000,6.3332,0.0500,600
1552,7.4000,6.3488,0.0500,600
1553,7.2000,6.5924,0.0500,600
1554,8.7200,6.6604,0.0500,412
1555,7.5300,6.9248,0.0500,198
1556,7.3900,6.9396,0.0500,179
1557,7.4700,7.2384,0.0500,197
1558,7.6900,7.2644,0.0500,209
1559,7.0300,7.2632,0.0500,143
1560,7.0200,7.2492,0.0500,142
1561,7.4000,7.2496,0.0500,600
1562,7.0100,7.1552,0.0500,141
1563,7.0200,7.1880,0.0500,142
1564,7.7500,7.2028,0.0500,315
1565,10.2000,7.3812,0.0500,460
1566,7.1600,7.3860,0.0500,156
1567,7.1600,7.3912,0.0500,156
1568,7.0200,7.3908,0.0500,142
1569,7.1700,7.3968,0.0500,157
1570,7.4000,7.4120,0.0500,600
1571,7.0200,7.4116,0.0500,142
1572,8.1300,7.4436,0.0500,353
1573,9.0300,7.5008,0.0500,343
1574,7.8200,7.6056,0.0500,227
1575,7.3700,7.5644,0.0500,177
1576,7.5200,7.5852,0.0500,192
1577,7.0400,7.5708,0.0500,144
1578,7.0100,7.5632,0.0500,141
1579,7.0300,7.4956,0.0500,143
1580,6.8300,7.4676,0.0500,223
1581,7.1700,7.4588,0.0500,157
1582,7.1700,7.4468,0.0500,157
1583,7.1700,7.4260,0.0500,157
1584,7.0500,7.4268,0.0500,245
1585,7.8300,7.4592,0.0500,223
1586,7.0300,7.4444,0.0500,143
1587,7.4000,7.4600,0.0500,600
1588,7.0300,7.4604,0.0500,143
1589,7.0300,7.4316,0.0500,143
1590,7.3500,7.3176,0.0500,175
1591,7.4000,7.3272,0.0500,600
1592,7.0200,7.3216,0.0500,142
1593,7.0300,7.3220,0.0500,143
1594,7.0500,7.3172,0.0500,145
1595,7.1500,7.3072,0.0500,155
1596,7.1500,7.3124,0.0500,155
1597,7.1600,7.2736,0.0500,156
1598,7.0100,7.1928,0.0500,141
1599,7.0200,7.1608,0.0500,142
1600,7.1600,7.1524,0.0500,156
1601,8.0500,7.1736,0.0500,600
1602,7.0200,7.1728,0.0500,142
1603,7.0300,7.1736,0.0500,143
1604,7.0400,7.1740,0.0500,144
1605,7.0400,7.1824,0.0500,144
1606,7.0200,7.1764,0.0500,142
1607,-0.2600,6.8792,0.0500,514
1608,7.0300,6.8736,0.0500,143
1609,7.3400,6.8852,0.0500,174
1610,7.4400,6.8696,0.0500,199
1611,6.6300,6.8536,0.0500,303
1612,-1.4400,6.5000,0.0500,236
1613,0.2800,6.2300,0.0500,288
1614,1.1000,5.9928,0.0500,490
1615,7.0300,5.9800,0.0500,143
1616,8.4400,6.0216,0.0500,294
1617,7.3800,6.0360,0.0500,178
1618,7.5100,6.0552,0.0500,416
1619,7.0500,6.0552,0.0500,145
1620,8.9700,6.1280,0.0500,337
1621,7.0300,6.1232,0.0500,143
1622,7.0500,6.1188,0.0500,145
1623,7.1600,6.1248,0.0500,156
1624,1.1700,5.8908,0.0500,377
1625,7.7800,5.9156,0.0500,338
1626,7.5300,5.8948,0.0500,193
1627,6.8600,5.8884,0.0500,386
1628,7.4900,5.9068,0.0500,189
1629,7.1300,5.9104,0.0500,153
1630,7.0200,5.9096,0.0500,142
1631,0.5800,5.6520,0.0500,353
1632,7.0300,5.9436,0.0500,143
1633,7.0300,5.9436,0.0500,143
1634,7.1500,5.9360,0.0500,155
1635,7.0300,5.9196,0.0500,143
1636,7.2300,5.9436,0.0500,163
1637,7.2400,6.2908,0.0500,164
1638,7.3200,6.5724,0.0500,172
1639,7.3900,6.8240,0.0500,179
1640,-0.7100,6.5144,0.0500,309
1641,7.4000,6.4728,0.0500,180
1642,7.5000,6.4776,0.0500,190
1643,7.5200,6.4780,0.0500,192
1644,7.0200,6.4768,0.0500,142
1645,7.0200,6.3988,0.0500,142
1646,7.0200,6.3984,0.0500,142
1647,7.0100,6.3968,0.0500,141
1648,7.0300,6.3916,0.0500,143
1649,2.5100,6.4452,0.0500,511
1650,7.2000,6.4220,0.0500,600
1651,7.5100,6.4212,0.0500,191
1652,7.2700,6.4376,0.0500,167
1653,7.2800,6.4292,0.0500,168
1654,-2.0800,6.0608,0.0500,442
1655,7.2400,6.0696,0.0500,164
1656,7.0200,6.3272,0.0500,142
1657,7.1500,6.3320,0.0500,155
1658,7.0200,6.3316,0.0500,142
1659,7.0400,6.3272,0.0500,144
1660,7.8400,6.3596,0.0500,224
1661,7.4800,6.3696,0.0500,188
1662,7.3300,6.3732,0.0500,173
1663,7.9700,6.3992,0.0500,237
1664,-1.6400,6.0380,0.0500,336
1665,3.3000,6.1984,0.0500,600
1666,7.3600,6.1968,0.0500,176
1667,7.1300,6.1820,0.0500,153
1668,7.0400,6.1628,0.0500,144
1669,7.2400,6.1716,0.0500,164
1670,7.0300,6.1720,0.0500,143
1671,7.2500,6.1812,0.0500,165
1672,0.1500,5.9068,0.0500,275
1673,0.1700,5.6324,0.0500,277
1674,1.2200,5.5808,0.0500,392
1675,-0.2400,5.2832,0.0500,236
1676,-1.4000,4.9268,0.0500,240
1677,-1.7400,4.5664,0.0500,326
1678,-1.4800,4.2160,0.0500,232
1679,0.4200,4.3160,0.0500,302
1680,7.4700,4.3252,0.0500,197
1681,0.1800,4.0516,0.0500,278
1682,7.0200,4.0464,0.0500,142
1683,7.0200,4.0464,0.0500,142
1684,7.4500,4.0628,0.0500,185
1685,-0.1600,3.7428,0.0500,244
1686,0.5300,3.4648,0.0500,313
1687,-1.3700,3.1168,0.0500,388
1688,7.0500,3.0800,0.0500,145
1689,6.4800,3.4048,0.0500,188
1690,6.0500,3.5148,0.0500,245
1691,-0.1700,3.2136,0.0500,243
1692,-0.7700,2.8976,0.0500,183
1693,7.1800,2.9032,0.0500,158
1694,7.0500,2.8956,0.0500,145
1695,7.0600,2.8968,0.0500,146
1696,7.1700,2.8936,0.0500,157
1697,7.2100,3.1760,0.0500,161
1698,7.3100,3.4616,0.0500,171
1699,7.1900,3.7004,0.0500,259
1700,7.5200,4.0108,0.0500,192
1701,-0.9600,4.0284,0.0500,399
1702,7.4200,4.3948,0.0500,182
1703,-0.3400,4.4404,0.0500,226
1704,7.2600,4.7140,0.0500,166
1705,-1.1800,4.3680,0.0500,262
1706,-1.9200,4.2840,0.0500,188
1707,7.1500,4.2892,0.0500,255
1708,-2.0100,3.9280,0.0500,179
1709,7.0500,3.9120,0.0500,145
1710,7.0300,4.1996,0.0500,143
1711,7.0400,4.4600,0.0500,144
1712,7.1600,4.8012,0.0500,156
1713,7.4100,4.8156,0.0500,186
1714,-0.9700,4.5176,0.0500,283
1715,7.3100,4.5680,0.0500,171
1716,7.0600,4.8572,0.0500,146
1717,-0.5200,4.8672,0.0500,208
1718,7.1700,4.8668,0.0500,157
1719,-1.1100,4.5404,0.0500,579
1720,-0.6200,4.2332,0.0500,318
1721,1.5000,4.0064,0.0500,430
1722,1.3400,3.7716,0.0500,394
1723,7.0600,3.7616,0.0500,146
1724,7.9100,3.7904,0.0500,331
1725,7.9900,3.8092,0.0500,239
1726,7.4200,4.1444,0.0500,182
1727,7.5200,4.1484,0.0500,192
1728,9.4200,4.5388,0.0500,382
1729,0.9000,4.2844,0.0500,350
1730,-1.2100,4.2832,0.0500,259
1731,-0.5900,4.3364,0.0500,201
1732,0.9200,4.0872,0.0500,352
1733,6.5100,4.4280,0.0500,291
1734,0.6600,4.1724,0.0500,326
1735,-0.0600,3.8888,0.0500,254
1736,-0.6500,3.5812,0.0500,390
1737,0.4500,3.3128,0.0500,305
1738,7.1600,3.3028,0.0500,156
1739,-0.3600,3.3272,0.0500,224
1740,-0.4500,3.0168,0.0500,215
1741,-0.3500,2.7204,0.0500,300
1742,7.5000,3.0412,0.0500,190
1743,7.0400,3.0360,0.0500,144
1744,7.0400,3.3620,0.0500,144
1745,7.0700,3.6696,0.0500,147
1746,7.3000,3.9016,0.0500,170
1747,-1.0100,3.8076,0.0500,404
1748,7.6000,3.8292,0.0500,200
1749,0.2500,3.5228,0.0500,405
1750,0.4500,3.2212,0.0500,365
1751,7.0500,3.2064,0.0500,145
1752,5.1600,3.1120,0.0500,156
1753,-2.1700,2.6484,0.0500,163
1754,1.4700,2.6712,0.0500,482
1755,0.2200,2.7284,0.0500,282
1756,0.6400,2.7776,0.0500,324
1757,-2.0300,2.6596,0.0500,177
1758,-2.0300,2.3180,0.0500,177
1759,-2.5900,2.1880,0.0500,241
1760,-3.4100,2.0540,0.0500,159
1761,-2.8100,1.9676,0.0500,234
1762,-1.7500,1.8796,0.0500,205
1763,-0.1800,1.5860,0.0500,247
1764,6.3700,1.8552,0.0500,177
1765,-0.6500,1.8472,0.0500,195
1766,-1.5100,1.8008,0.0500,229
1767,-0.5000,1.4808,0.0500,210
1768,5.8700,1.4340,0.0500,227
1769,5.8000,1.3844,0.0500,220
1770,7.3100,1.3940,0.0500,171
1771,7.5400,1.4036,0.0500,194
1772,-0.9300,1.4068,0.0500,287
1773,-1.9200,1.0260,0.0500,308
1774,6.8300,1.2892,0.0500,323
1775,0.0100,1.2716,0.0500,321
1776,-0.7800,0.9584,0.0500,302
1777,-0.0400,0.7504,0.0500,256
1778,1.8200,0.9100,0.0500,467
1779,-0.1100,0.8468,0.0500,249
1780,0.2600,0.8484,0.0500,286
1781,-0.4900,0.8032,0.0500,351
1782,0.7700,0.9152,0.0500,337
1783,1.4300,1.0536,0.0500,428
1784,-1.7100,1.0888,0.0500,489
1785,-1.0000,1.1852,0.0500,280
1786,-1.5000,1.2376,0.0500,230
1787,-2.9500,1.1896,0.0500,205
1788,0.8100,1.2292,0.0500,341
1789,-2.4100,0.8780,0.0500,259
1790,-0.2200,0.8952,0.0500,238
1791,0.3100,0.9680,0.0500,291
1792,-1.2400,0.9384,0.0500,256
1793,7.3000,0.9956,0.0500,170
1794,0.3000,0.7756,0.0500,290
1795,0.5900,0.5068,0.0500,359
1796,-0.7800,0.1740,0.0500,302
1797,7.7200,0.5200,0.0500,212
1798,-0.8300,0.5636,0.0500,377
1799,8.2500,0.6204,0.0500,350
1800,-2.3900,0.5244,0.0500,261
1801,-0.7700,0.5248,0.0500,303
1802,-1.5300,0.4652,0.0500,347
1803,0.0900,0.3960,0.0500,269
1804,-1.4600,0.3420,0.0500,234
1805,5.9200,0.5684,0.0500,232
1806,-1.2600,0.5376,0.0500,254
1807,-1.4300,0.4496,0.0500,237
1808,-2.3300,0.2992,0.0500,267
1809,7.2100,0.6560,0.0500,161
1810,-1.1700,0.6492,0.0500,263
1811,-0.9600,0.6708,0.0500,284
1812,6.1800,1.0360,0.0500,258
1813,-0.2300,0.9944,0.0500,237
1814,7.2800,1.3820,0.0500,168
1815,-1.7300,1.3216,0.0500,207
1816,7.4300,1.6064,0.0500,183
1817,7.5000,1.9560,0.0500,190
1818,7.6200,1.9688,0.0500,202
1819,1.6500,2.0228,0.0500,470
1820,0.1800,2.0064,0.0500,278
1821,7.5200,2.3384,0.0500,192
1822,8.1600,2.3560,0.0500,256
1823,-0.4300,2.3720,0.0500,337
1824,6.6600,2.3084,0.0500,206
1825,-0.0900,2.4004,0.0500,251
1826,5.8700,2.6660,0.0500,227
1827,-1.4300,2.6700,0.0500,237
1828,-2.3000,2.5744,0.0500,270
1829,0.4200,2.6496,0.0500,302
1830,-2.4900,2.3132,0.0500,251
1831,7.2700,2.6544,0.0500,167
1832,8.0200,3.0324,0.0500,267
1833,7.0200,3.4064,0.0500,142
1834,7.7900,3.4296,0.0500,219
1835,7.0300,3.7576,0.0500,143
1836,0.4400,3.8136,0.0500,304
1837,-0.5200,3.5456,0.0500,343
1838,7.0200,3.8356,0.0500,142
1839,7.0100,3.8248,0.0500,141
1840,6.4400,4.1516,0.0500,284
1841,7.2200,4.1432,0.0500,162
1842,0.6500,3.8692,0.0500,325
1843,7.2300,3.8536,0.0500,263
1844,7.1700,4.0744,0.0500,157
1845,7.4100,4.3636,0.0500,281
